manholes,end times,ratio,intercept,lat,lon,pipe type
1,15:12:55,-0.5320979270741875,0.014642740480242993,52.087563,5.164611815,rain
2,15:16:30,91.50846504566434,-0.24475965069360756,52.087353,5.163792232,sewege
3,15:17:55,0.00817277918754636,0.019937490255755565,52.087563,5.163792232,rain
4,15:34:00,2.785034921734438,-1.1166019789821418,52.086045638,5.1694414669999995,rain
5,15:37:05,0.020474158544260553,-8.99627412564581e-05,52.086003693,5.1702007000000005,rain
6,15:41:50,25.639389302046983,-0.4860082346864829,52.08559905600001,5.17125967,rain
7,15:44:30,0.8004226187709421,0.20471997683461549,52.08521407600001,5.171433929,rain
8,15:55:30,24.074046872693085,-0.2163578735091039,52.085986556,5.175623037,rain
9,15:57:15,1.4552502040295157,0.0870226730333543,52.085839198,5.175646422,rain
10,16:01:15,2.370892970695922,-0.10559448373544833,52.085623238000004,5.1755498630000005,rain
11,16:04:30,2.6202848125928746,0.1331538093607163,52.085603289,5.174589716,rain
12,16:06:10,-0.24240610139456156,0.643969876267452,52.085597338,5.174787216,sewege
13,16:08:45,0.49939629639498057,0.03652092690454338,52.08552232,5.173986817,undefined
14,16:10:50,59.927362431533645,0.0449124556201301,52.08557232,5.173864771,undefined
15,16:13:30,4.12528014286914,-0.0031783421633817693,52.085444662,5.173808523,undefined
16,16:19:15,-0.2303175696559276,0.0031029482558406814,52.086152681,5.176223349,gas
17,16:21:15,-0.44546880497711444,0.011055865298482901,52.086352681,5.176423348999999,gas
18,16:23:25,27.094884098053527,-0.7102609986256093,52.085931273,5.176199963,sewege
19,16:26:30,28.463110151524134,-1.1333662828112128,52.085295715,5.176192755,sewege
